start	end	text
0	4400	Всем привет! Меня зовут Мария, я школьный учитель и делюсь своим опытом.
4400	9000	В этом видео мы поговорим о построении онлайн уроков, онлайн занятий.
9000	14000	Я делюсь лишь своим опытом, своим видением, как это должно происходить.
14000	18800	И если было полезно, обязательно поставьте реакцию на данный ролик.
20000	27200	Если б офлайн занятий урок держится на живой коммуникации, то онлайн занятия живет за счет практической работы.
27200	31200	Практическим образом мы повторяем материал, изучаем и закрепляем его.
31200	36200	Изучение теории необходимо максимально отодвигать на неурочное время.
36200	42200	Здесь вам помогут электронные образовательные ресурсы, инфографика, статьи, видеоконтент.
42200	46200	Причем все это можно находить в свободном доступе или создавать самостоятельно.
46200	52200	Например, в своем телеграм-канале я уже упоминала о программе Screenshotter для записи видео.
52200	58200	Также, чтобы записать онлайн объяснение, возможно, вам понадобится презентация или программа для записи заметок.
58200	60200	А может быть и то, и другое.
60200	64200	Что касается практической работы с учениками во время онлайн занятия,
64200	69200	здесь вы ограничены лишь своей осведомленностью о тех или иных способах сетевого взаимодействия.
69200	74200	Вы можете организовать групповую работу или игру в бесконечной онлайн-доске,
74200	80200	использовать элементы игровых технологий на уроке или гимнифицировать весь процесс обучения.
80200	84200	Например, можно воспользоваться сервисами миллионенапции или вип-фити.
84200	88200	Построить коллективное взаимодействие в гугл-сервисах ему подобных.
88200	92200	Общая работа с документами, таблецами, презентацией, гугл-формы.
92200	97200	При всем при этом важно сохранить весь учебный контент в одном конкретном месте,
97200	102200	таким образом, чтобы каждый обучающийся мог в любое время дня и ночи иметь доступ к нему.
102200	106200	Здесь нам поможет общий доступ в папке на вашем облаке
106200	113200	или, возможно, даже телеграм-канал или группа во Вконтакте, там, где вам удобнее работать.
113200	118200	Желательно иметь общий чат для поддержки связи с учениками во мне урочное время.
118200	124200	А для построения взаимодействия вам также могут помочь программы по типам Microsoft Teams.
124200	128200	Рекомендую изучить, потому что в них собрано все самое лучшее,
128200	131200	что необходимо для организации такого обучения.
131200	135200	А мимо практической работы необходимо тщательно продумать систему оценивания.
135200	139200	Каким образом и где будет проходить контроль знаний ваших подопечных,
139200	144200	каким образом вы будете сообщать им результаты и не забываем об этики.
144200	147200	Никто не должен видеть чужую работу или результат.
147200	151200	Ребята сами поделятся друг с другом, если это будет необходимо.
151200	154200	Проверку работ можно проводить в ранее упомянутых сервисах,
154200	157200	те же гугл-формы с выводом статистики.
157200	161200	А также, если ребятам предстоит большая письменная работа,
161200	165200	вы можете воспользоваться, например, сервисом Cloud Text.
165200	170200	Это был мой опыт и мое видение организации онлайн занятий.
170200	175200	Если вы имеете такой опыт, не скупитесь поделиться им в комментариях.
175200	178200	Возможно, кому-то он сейчас сильно поможет.
178200	181200	Большое спасибо за просмотр, за поддержку канала.
181200	184200	Увидимся с вами еще все предложения и замечания.
184200	186200	Пишите здесь в комментариях.
186200	187200	Всем пока!
